epoch,accuracy,loss,val_accuracy,val_loss
0,0.3714364767074585,1.3213073015213013,0.4985590875148773,1.2558165788650513
1,0.6988652348518372,0.8951811790466309,0.680115282535553,0.8035559058189392
2,0.8131746649742126,0.5092140436172485,0.7204610705375671,0.6987290382385254
3,0.8610572814941406,0.3717930316925049,0.7204610705375671,0.7213097214698792
4,0.8942707180976868,0.29632776975631714,0.7348703145980835,0.7700585722923279
5,0.9150290489196777,0.2416769415140152,0.7002881765365601,0.8099727630615234
6,0.9355106353759766,0.20207683742046356,0.7031700015068054,0.8590773940086365
7,0.950179934501648,0.1664063036441803,0.7060518860816956,0.9527720808982849
8,0.9554386734962463,0.1440993696451187,0.7060518860816956,0.9630349278450012
9,0.9609742760658264,0.13155359029769897,0.7118155360221863,0.9986650347709656
10,0.9651259183883667,0.11466142535209656,0.7002881765365601,1.073723316192627
11,0.9670633673667908,0.10600437968969345,0.7060518860816956,1.0849093198776245
12,0.9692776203155518,0.0955592542886734,0.6829971075057983,1.1946492195129395
13,0.9725989699363708,0.09188884496688843,0.7089337110519409,1.1168687343597412
14,0.9701079726219177,0.08961974829435349,0.7002881765365601,1.2047052383422852
15,0.9706615209579468,0.08244205266237259,0.7002881765365601,1.2317434549331665
16,0.972045361995697,0.07931714504957199,0.7146974205970764,1.2180067300796509
17,0.9748131632804871,0.07564740628004074,0.7060518860816956,1.2961102724075317
18,0.9748131632804871,0.07423906773328781,0.7031700015068054,1.2527155876159668
19,0.9745364189147949,0.07143281400203705,0.7002881765365601,1.2877697944641113
20,0.9739828109741211,0.06911984831094742,0.7002881765365601,1.317975640296936
21,0.9748131632804871,0.06364190578460693,0.7060518860816956,1.3425827026367188
22,0.975643515586853,0.06342291086912155,0.6858789920806885,1.42350172996521
23,0.9759202599525452,0.06622675061225891,0.6887608170509338,1.4208157062530518
24,0.975089967250824,0.061929114162921906,0.6772334575653076,1.4518450498580933
25,0.973706066608429,0.06306342780590057,0.7002881765365601,1.4033312797546387
26,0.9739828109741211,0.06339264661073685,0.6887608170509338,1.4582390785217285
27,0.975643515586853,0.05745963379740715,0.6916426420211792,1.4548625946044922
28,0.974259614944458,0.05842747539281845,0.6945244669914246,1.520014762878418
29,0.9748131632804871,0.05534392222762108,0.6974063515663147,1.5092676877975464
30,0.9748131632804871,0.057122986763715744,0.7002881765365601,1.5118759870529175
31,0.976473867893219,0.052080102264881134,0.6974063515663147,1.5131436586380005
32,0.9789648652076721,0.04825415834784508,0.6945244669914246,1.5574676990509033
33,0.975089967250824,0.053866107016801834,0.6887608170509338,1.572640299797058
34,0.9748131632804871,0.052016839385032654,0.680115282535553,1.5864273309707642
35,0.9739828109741211,0.05044010281562805,0.6887608170509338,1.6106914281845093
36,0.972875714302063,0.04970373213291168,0.6916426420211792,1.6103577613830566
37,0.9775809645652771,0.04679485410451889,0.7031700015068054,1.6175169944763184
38,0.9753667116165161,0.048251282423734665,0.7002881765365601,1.616126537322998
39,0.9759202599525452,0.04610295221209526,0.6974063515663147,1.627278208732605
40,0.975643515586853,0.0474301315844059,0.680115282535553,1.651576280593872
41,0.9761970639228821,0.0464157871901989,0.6887608170509338,1.6786936521530151
42,0.9759202599525452,0.04494652524590492,0.6916426420211792,1.668989658355713
43,0.974259614944458,0.04472196847200394,0.6916426420211792,1.6994940042495728
44,0.973706066608429,0.04670199006795883,0.6945244669914246,1.6614772081375122
45,0.9753667116165161,0.04580501466989517,0.6916426420211792,1.7155927419662476
46,0.9739828109741211,0.04384750500321388,0.6916426420211792,1.6919219493865967
47,0.9759202599525452,0.044159818440675735,0.6829971075057983,1.7028061151504517
48,0.9725989699363708,0.044439271092414856,0.6945244669914246,1.7133275270462036
49,0.9753667116165161,0.04165034368634224,0.6974063515663147,1.7108490467071533
